CONCEPT_ID,ICD10code,description,body_system,Progressive,code_heading,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,standard_code,standard_name
35205462,A18.4,Tuberculosis of skin and subcutaneous tissue,dermatological,no,A184,Tuberculosis of skin and subcutaneous tissue,Condition,ICD10CM,4153291,Tuberculosis of skin and subcutaneous tissue
35205463,A18.6,Tuberculosis of (inner) (middle) ear,otologic,no,A186,Tuberculosis of (inner) (middle) ear,Condition,ICD10CM,378953,Tuberculosis of ear
35205464,A18.7,Tuberculosis of adrenal glands,endocrinological,no,A187,Tuberculosis of adrenal glands,Condition,ICD10CM,201779,Tuberculosis of adrenal glands
35205465,A19.0,Acute miliary tuberculosis of a single specified site,pulmonary/respiratory,no,A19,Acute miliary tuberculosis of a single specified site,Condition,ICD10CM,37117202,Acute miliary tuberculosis of single site
35205466,A19.1,Acute miliary tuberculosis of multiple sites,pulmonary/respiratory,no,A19,Acute miliary tuberculosis of multiple sites,Condition,ICD10CM,4087419,Acute miliary tuberculosis of multiple sites
35205467,A19.2,"Acute miliary tuberculosis, unspecified",pulmonary/respiratory,no,A19,"Acute miliary tuberculosis, unspecified",Condition,ICD10CM,435734,Acute miliary tuberculosis
35205468,A19.8,Other miliary tuberculosis,pulmonary/respiratory,no,A19,Other miliary tuberculosis,Condition,ICD10CM,434559,Miliary tuberculosis
35205469,A19.9,"Miliary tuberculosis, unspecified",pulmonary/respiratory,no,A19,"Miliary tuberculosis, unspecified",Condition,ICD10CM,434559,Miliary tuberculosis
35205514,A30.0,Indeterminate leprosy,neurological,no,A30,Indeterminate leprosy,Condition,ICD10CM,132238,Indeterminate leprosy
35205515,A30.1,Tuberculoid leprosy,neurological,no,A30,Tuberculoid leprosy,Condition,ICD10CM,136898,Tuberculoid leprosy
35205516,A30.2,Borderline tuberculoid leprosy,neurological,no,A30,Borderline tuberculoid leprosy,Condition,ICD10CM,4347522,Borderline tuberculoid leprosy
35205517,A30.3,Borderline leprosy,neurological,no,A30,Borderline leprosy,Condition,ICD10CM,436902,Borderline leprosy
35205518,A30.4,Borderline lepromatous leprosy,neurological,no,A30,Borderline lepromatous leprosy,Condition,ICD10CM,4345219,Borderline lepromatous leprosy
35205519,A30.5,Lepromatous leprosy,neurological,no,A30,Lepromatous leprosy,Condition,ICD10CM,137207,Lepromatous leprosy
35205520,A30.8,Other forms of leprosy,neurological,no,A30,Other forms of leprosy,Condition,ICD10CM,432821,Leprosy
35205521,A30.9,"Leprosy, unspecified",neurological,no,A30,"Leprosy, unspecified",Condition,ICD10CM,432821,Leprosy
35205580,A50.1,"Early congenital syphilis, latent",neurological,yes,A50,"Early congenital syphilis, latent",Condition,ICD10CM,4089980,Early congenital syphilis - latent
35205581,A50.2,"Early congenital syphilis, unspecified",neurological,yes,A50,"Early congenital syphilis, unspecified",Condition,ICD10CM,436632,Early congenital syphilis (less than 2 years)
35205582,A50.6,"Late congenital syphilis, latent",neurological,yes,A50,"Late congenital syphilis, latent",Condition,ICD10CM,436624,"Late congenital syphilis, latent (+ sero., - C.S.F., 2 years OR more)"
35205583,A50.7,"Late congenital syphilis, unspecified",neurological,yes,A50,"Late congenital syphilis, unspecified",Condition,ICD10CM,437794,Late congenital syphilis (2 years OR more)
35205584,A50.9,"Congenital syphilis, unspecified",neurological,yes,A50,"Congenital syphilis, unspecified",Condition,ICD10CM,434279,Congenital syphilis
35205590,A52.2,Asymptomatic neurosyphilis,neurological,yes,A522,Asymptomatic neurosyphilis,Condition,ICD10CM,376335,Asymptomatic neurosyphilis
35205591,A52.3,"Neurosyphilis, unspecified",neurological,yes,A523,"Neurosyphilis, unspecified",Condition,ICD10CM,375738,Neurosyphilis
35205592,A52.8,"Late syphilis, latent",neurological,yes,A528,"Late syphilis, latent",Condition,ICD10CM,4087756,Late latent syphilis
35205593,A52.9,"Late syphilis, unspecified",neurological,yes,A529,"Late syphilis, unspecified",Condition,ICD10CM,435739,Late syphilis
35205594,A53.0,"Latent syphilis, unspecified as early or late",neurological,yes,A53,"Latent syphilis, unspecified as early or late",Condition,ICD10CM,40485064,Latent syphilis
35205595,A53.9,"Syphilis, unspecified",neurological,yes,A53,"Syphilis, unspecified",Condition,ICD10CM,436033,Syphilis
35205664,A81.1,Subacute sclerosing panencephalitis,neurological,yes,A81,Subacute sclerosing panencephalitis,Condition,ICD10CM,373408,Subacute sclerosing panencephalitis
35205665,A81.2,Progressive multifocal leukoencephalopathy,neurological,yes,A81,Progressive multifocal leukoencephalopathy,Condition,ICD10CM,433957,Progressive multifocal leukoencephalopathy
35205667,A81.9,"Atypical virus infection of central nervous system, unspecified",neurological,yes,A81,"Atypical virus infection of central nervous system, unspecified",Condition,ICD10CM,4028070,Infectious disease of central nervous system
35205776,B20,Human immunodeficiency virus [HIV] disease,"immunological
",yes,B20,Human immunodeficiency virus [HIV] disease,Condition,ICD10CM,439727,Human immunodeficiency virus infection
35206012,B90.0,Sequelae of central nervous system tuberculosis,neurological,yes,B900,Sequelae of central nervous system tuberculosis,Condition,ICD10CM,373970,Late effects of central nervous system tuberculosis
35206013,B90.1,Sequelae of genitourinary tuberculosis,genitourinary,no,B901,Sequelae of genitourinary tuberculosis,Condition,ICD10CM,81229,Late effects of genitourinary system tuberculosis
35206014,B90.2,Sequelae of tuberculosis of bones and joints,musculoskeletal,no,B902,Sequelae of tuberculosis of bones and joints,Condition,ICD10CM,433421,Late effects of tuberculosis of bones and/or joints
35206015,B90.8,Sequelae of tuberculosis of other organs,pulmonary/respiratory,no,B908,Sequelae of tuberculosis of other organs,Condition,ICD10CM,4090205,Sequelae of tuberculosis
35206016,B90.9,Sequelae of respiratory and unspecified tuberculosis,pulmonary/respiratory,no,B909,Sequelae of respiratory and unspecified tuberculosis,Condition,ICD10CM,439743,Late effects of respiratory tuberculosis
35206017,B91,Sequelae of poliomyelitis,neurological,yes,B91,Sequelae of poliomyelitis,Condition,ICD10CM,377802,Late effects of poliomyelitis
35206047,C00.0,Malignant neoplasm of external upper lip,malignancy,n/a,C0,Malignant neoplasm of external upper lip,Condition,ICD10CM,138074,Primary malignant neoplasm of vermilion border of upper lip
35206048,C00.1,Malignant neoplasm of external lower lip,malignancy,n/a,C0,Malignant neoplasm of external lower lip,Condition,ICD10CM,132565,Primary malignant neoplasm of vermilion border of lower lip
35206049,C00.2,"Malignant neoplasm of external lip, unspecified",malignancy,n/a,C0,"Malignant neoplasm of external lip, unspecified",Condition,ICD10CM,133969,Primary malignant neoplasm of vermilion border of lip
35206050,C00.3,"Malignant neoplasm of upper lip, inner aspect",malignancy,n/a,C0,"Malignant neoplasm of upper lip, inner aspect",Condition,ICD10CM,138351,Primary malignant neoplasm of inner aspect of upper lip
35206051,C00.4,"Malignant neoplasm of lower lip, inner aspect",malignancy,n/a,C0,"Malignant neoplasm of lower lip, inner aspect",Condition,ICD10CM,137219,Primary malignant neoplasm of inner aspect of lower lip
35206052,C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",malignancy,n/a,C0,"Malignant neoplasm of lip, unspecified, inner aspect",Condition,ICD10CM,132832,Primary malignant neoplasm of inner aspect of lip
35206053,C00.6,"Malignant neoplasm of commissure of lip, unspecified",malignancy,n/a,C0,"Malignant neoplasm of commissure of lip, unspecified",Condition,ICD10CM,255192,Primary malignant neoplasm of commissure of lip
35206054,C00.8,Malignant neoplasm of overlapping sites of lip,malignancy,n/a,C0,Malignant neoplasm of overlapping sites of lip,Condition,ICD10CM,133710,Overlapping malignant neoplasm of lip
35206055,C00.9,"Malignant neoplasm of lip, unspecified",malignancy,n/a,C0,"Malignant neoplasm of lip, unspecified",Condition,ICD10CM,4155171,Primary malignant neoplasm of lip
35206056,C01,Malignant neoplasm of base of tongue,malignancy,n/a,C0,Malignant neoplasm of base of tongue,Condition,ICD10CM,256633,Primary malignant neoplasm of base of tongue
35206057,C02.0,Malignant neoplasm of dorsal surface of tongue,malignancy,n/a,C0,Malignant neoplasm of dorsal surface of tongue,Condition,ICD10CM,434587,Primary malignant neoplasm of dorsal surface of tongue
35206058,C02.1,Malignant neoplasm of border of tongue,malignancy,n/a,C0,Malignant neoplasm of border of tongue,Condition,ICD10CM,4156114,Primary malignant neoplasm of border of tongue
35206059,C02.2,Malignant neoplasm of ventral surface of tongue,malignancy,n/a,C0,Malignant neoplasm of ventral surface of tongue,Condition,ICD10CM,437220,Primary malignant neoplasm of ventral surface of tongue
35206060,C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",malignancy,n/a,C0,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Condition,ICD10CM,436042,Primary malignant neoplasm of anterior two-thirds of tongue
35206061,C02.4,Malignant neoplasm of lingual tonsil,malignancy,n/a,C0,Malignant neoplasm of lingual tonsil,Condition,ICD10CM,434289,Primary malignant neoplasm of lingual tonsil
35206062,C02.8,Malignant neoplasm of overlapping sites of tongue,malignancy,n/a,C0,Malignant neoplasm of overlapping sites of tongue,Condition,ICD10CM,436043,Overlapping malignant neoplasm of tongue
35206063,C02.9,"Malignant neoplasm of tongue, unspecified",malignancy,n/a,C0,"Malignant neoplasm of tongue, unspecified",Condition,ICD10CM,437498,Primary malignant neoplasm of tongue
35206064,C03.0,Malignant neoplasm of upper gum,malignancy,n/a,C0,Malignant neoplasm of upper gum,Condition,ICD10CM,435478,Primary malignant neoplasm of upper gum
35206065,C03.1,Malignant neoplasm of lower gum,malignancy,n/a,C0,Malignant neoplasm of lower gum,Condition,ICD10CM,440335,Primary malignant neoplasm of lower gum
35206066,C03.9,"Malignant neoplasm of gum, unspecified",malignancy,n/a,C0,"Malignant neoplasm of gum, unspecified",Condition,ICD10CM,140950,Primary malignant neoplasm of gum
35206067,C04.0,Malignant neoplasm of anterior floor of mouth,malignancy,n/a,C0,Malignant neoplasm of anterior floor of mouth,Condition,ICD10CM,438982,Primary malignant neoplasm of anterior portion of floor of mouth
35206068,C04.1,Malignant neoplasm of lateral floor of mouth,malignancy,n/a,C0,Malignant neoplasm of lateral floor of mouth,Condition,ICD10CM,440344,Primary malignant neoplasm of lateral portion of floor of mouth
35206069,C04.8,Malignant neoplasm of overlapping sites of floor of mouth,malignancy,n/a,C0,Malignant neoplasm of overlapping sites of floor of mouth,Condition,ICD10CM,140955,Overlapping malignant neoplasm of floor of mouth
35206070,C04.9,"Malignant neoplasm of floor of mouth, unspecified",malignancy,n/a,C0,"Malignant neoplasm of floor of mouth, unspecified",Condition,ICD10CM,135750,Primary malignant neoplasm of floor of mouth
35206071,C05.0,Malignant neoplasm of hard palate,malignancy,n/a,C0,Malignant neoplasm of hard palate,Condition,ICD10CM,438694,Primary malignant neoplasm of hard palate
35206072,C05.1,Malignant neoplasm of soft palate,malignancy,n/a,C0,Malignant neoplasm of soft palate,Condition,ICD10CM,254282,Primary malignant neoplasm of soft palate
35206073,C05.2,Malignant neoplasm of uvula,malignancy,n/a,C0,Malignant neoplasm of uvula,Condition,ICD10CM,434285,Primary malignant neoplasm of uvula
35206074,C05.8,Malignant neoplasm of overlapping sites of palate,malignancy,n/a,C0,Malignant neoplasm of overlapping sites of palate,Condition,ICD10CM,4001170,Overlapping malignant neoplasm of palate
35206075,C05.9,"Malignant neoplasm of palate, unspecified",malignancy,n/a,C0,"Malignant neoplasm of palate, unspecified",Condition,ICD10CM,134290,Primary malignant neoplasm of palate
35206076,C06.0,Malignant neoplasm of cheek mucosa,malignancy,n/a,C0,Malignant neoplasm of cheek mucosa,Condition,ICD10CM,134579,Primary malignant neoplasm of buccal mucosa
35206077,C06.1,Malignant neoplasm of vestibule of mouth,malignancy,n/a,C0,Malignant neoplasm of vestibule of mouth,Condition,ICD10CM,261808,Primary malignant neoplasm of vestibule of mouth
35206078,C06.2,Malignant neoplasm of retromolar area,malignancy,n/a,C0,Malignant neoplasm of retromolar area,Condition,ICD10CM,433704,Primary malignant neoplasm of retromolar area
35206079,C06.9,"Malignant neoplasm of mouth, unspecified",malignancy,n/a,C0,"Malignant neoplasm of mouth, unspecified",Condition,ICD10CM,439404,Primary malignant neoplasm of oral cavity
35206080,C07,Malignant neoplasm of parotid gland,malignancy,n/a,C0,Malignant neoplasm of parotid gland,Condition,ICD10CM,434588,Primary malignant neoplasm of parotid gland
35206081,C08.0,Malignant neoplasm of submandibular gland,malignancy,n/a,C0,Malignant neoplasm of submandibular gland,Condition,ICD10CM,4247836,Primary malignant neoplasm of major salivary gland
35206082,C08.1,Malignant neoplasm of sublingual gland,malignancy,n/a,C0,Malignant neoplasm of sublingual gland,Condition,ICD10CM,439738,Primary malignant neoplasm of sublingual gland
35206083,C08.9,"Malignant neoplasm of major salivary gland, unspecified",malignancy,n/a,C0,"Malignant neoplasm of major salivary gland, unspecified",Condition,ICD10CM,4247836,Primary malignant neoplasm of major salivary gland
35206084,C09.0,Malignant neoplasm of tonsillar fossa,malignancy,n/a,C0,Malignant neoplasm of tonsillar fossa,Condition,ICD10CM,433709,Primary malignant neoplasm of tonsillar fossa
35206085,C09.1,Malignant neoplasm of tonsillar pillar (anterior) (posterior),malignancy,n/a,C0,Malignant neoplasm of tonsillar pillar (anterior) (posterior),Condition,ICD10CM,440047,Primary malignant neoplasm of tonsillar pillar
35206086,C09.8,Malignant neoplasm of overlapping sites of tonsil,malignancy,n/a,C0,Malignant neoplasm of overlapping sites of tonsil,Condition,ICD10CM,4002498,Overlapping malignant neoplasm of tonsil
35206087,C09.9,"Malignant neoplasm of tonsil, unspecified",malignancy,n/a,C0,"Malignant neoplasm of tonsil, unspecified",Condition,ICD10CM,31509,Primary malignant neoplasm of tonsil
35206088,C10.0,Malignant neoplasm of vallecula,malignancy,n/a,C1,Malignant neoplasm of vallecula,Condition,ICD10CM,438360,Primary malignant neoplasm of vallecula
35206089,C10.1,Malignant neoplasm of anterior surface of epiglottis,malignancy,n/a,C1,Malignant neoplasm of anterior surface of epiglottis,Condition,ICD10CM,436643,Primary malignant neoplasm of anterior aspect of epiglottis
35206090,C10.2,Malignant neoplasm of lateral wall of oropharynx,malignancy,n/a,C1,Malignant neoplasm of lateral wall of oropharynx,Condition,ICD10CM,440345,Primary malignant neoplasm of lateral wall of oropharynx
35206091,C10.3,Malignant neoplasm of posterior wall of oropharynx,malignancy,n/a,C1,Malignant neoplasm of posterior wall of oropharynx,Condition,ICD10CM,439739,Primary malignant neoplasm of posterior wall of oropharynx
35206092,C10.4,Malignant neoplasm of branchial cleft,malignancy,n/a,C1,Malignant neoplasm of branchial cleft,Condition,ICD10CM,4003674,Primary malignant neoplasm of branchial cleft
35206093,C10.8,Malignant neoplasm of overlapping sites of oropharynx,malignancy,n/a,C1,Malignant neoplasm of overlapping sites of oropharynx,Condition,ICD10CM,438691,Overlapping malignant neoplasm of oropharynx
35206094,C10.9,"Malignant neoplasm of oropharynx, unspecified",malignancy,n/a,C1,"Malignant neoplasm of oropharynx, unspecified",Condition,ICD10CM,432833,Primary malignant neoplasm of oropharynx
35206095,C11.0,Malignant neoplasm of superior wall of nasopharynx,malignancy,n/a,C1,Malignant neoplasm of superior wall of nasopharynx,Condition,ICD10CM,441223,Primary malignant neoplasm of superior wall of nasopharynx
35206096,C11.1,Malignant neoplasm of posterior wall of nasopharynx,malignancy,n/a,C1,Malignant neoplasm of posterior wall of nasopharynx,Condition,ICD10CM,436344,Primary malignant neoplasm of posterior wall of nasopharynx
35206097,C11.2,Malignant neoplasm of lateral wall of nasopharynx,malignancy,n/a,C1,Malignant neoplasm of lateral wall of nasopharynx,Condition,ICD10CM,438692,Primary malignant neoplasm of lateral wall of nasopharynx
35206098,C11.3,Malignant neoplasm of anterior wall of nasopharynx,malignancy,n/a,C1,Malignant neoplasm of anterior wall of nasopharynx,Condition,ICD10CM,438080,Primary malignant neoplasm of anterior wall of nasopharynx
35206099,C11.8,Malignant neoplasm of overlapping sites of nasopharynx,malignancy,n/a,C1,Malignant neoplasm of overlapping sites of nasopharynx,Condition,ICD10CM,432558,Overlapping malignant neoplasm of nasopharynx
35206100,C11.9,"Malignant neoplasm of nasopharynx, unspecified",malignancy,n/a,C1,"Malignant neoplasm of nasopharynx, unspecified",Condition,ICD10CM,4095312,Malignant tumor of nasopharynx
35206100,C11.9,"Malignant neoplasm of nasopharynx, unspecified",malignancy,n/a,C1,"Malignant neoplasm of nasopharynx, unspecified",Condition,ICD10CM,442131,Primary malignant neoplasm of head
35206101,C12,Malignant neoplasm of pyriform sinus,malignancy,n/a,C1,Malignant neoplasm of pyriform sinus,Condition,ICD10CM,435190,Primary malignant neoplasm of pyriform sinus
35206102,C13.0,Malignant neoplasm of postcricoid region,malignancy,n/a,C1,Malignant neoplasm of postcricoid region,Condition,ICD10CM,436922,Primary malignant neoplasm of postcricoid region
35206103,C13.1,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",malignancy,n/a,C1,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Condition,ICD10CM,434577,Primary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold
35206104,C13.2,Malignant neoplasm of posterior wall of hypopharynx,malignancy,n/a,C1,Malignant neoplasm of posterior wall of hypopharynx,Condition,ICD10CM,435474,Primary malignant neoplasm of posterior hypopharyngeal wall
35206105,C13.8,Malignant neoplasm of overlapping sites of hypopharynx,malignancy,n/a,C1,Malignant neoplasm of overlapping sites of hypopharynx,Condition,ICD10CM,440044,Overlapping malignant neoplasm of hypopharynx
35206106,C13.9,"Malignant neoplasm of hypopharynx, unspecified",malignancy,n/a,C1,"Malignant neoplasm of hypopharynx, unspecified",Condition,ICD10CM,439746,Primary malignant neoplasm of hypopharynx
35206107,C14.0,"Malignant neoplasm of pharynx, unspecified",malignancy,n/a,C1,"Malignant neoplasm of pharynx, unspecified",Condition,ICD10CM,28083,Primary malignant neoplasm of pharynx
35206108,C14.2,Malignant neoplasm of Waldeyer's ring,malignancy,n/a,C1,Malignant neoplasm of Waldeyer's ring,Condition,ICD10CM,432254,Primary malignant neoplasm of Waldeyer's ring
35206109,C14.8,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",malignancy,n/a,C1,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Condition,ICD10CM,444224,"Overlapping malignant neoplasm of lip, oral cavity and pharynx"
35206110,C15.3,Malignant neoplasm of upper third of esophagus,malignancy,n/a,C1,Malignant neoplasm of upper third of esophagus,Condition,ICD10CM,432260,Primary malignant neoplasm of upper third of esophagus
35206111,C15.4,Malignant neoplasm of middle third of esophagus,malignancy,n/a,C1,Malignant neoplasm of middle third of esophagus,Condition,ICD10CM,437805,Primary malignant neoplasm of middle third of esophagus
35206112,C15.5,Malignant neoplasm of lower third of esophagus,malignancy,n/a,C1,Malignant neoplasm of lower third of esophagus,Condition,ICD10CM,193138,Primary malignant neoplasm of lower third of esophagus
35206113,C15.8,Malignant neoplasm of overlapping sites of esophagus,malignancy,n/a,C1,Malignant neoplasm of overlapping sites of esophagus,Condition,ICD10CM,25748,Overlapping malignant neoplasm of esophagus
35206114,C15.9,"Malignant neoplasm of esophagus, unspecified",malignancy,n/a,C1,"Malignant neoplasm of esophagus, unspecified",Condition,ICD10CM,26638,Primary malignant neoplasm of esophagus
35206115,C16.0,Malignant neoplasm of cardia,malignancy,n/a,C1,Malignant neoplasm of cardia,Condition,ICD10CM,432838,Primary malignant neoplasm of cardia of stomach
35206116,C16.1,Malignant neoplasm of fundus of stomach,malignancy,n/a,C1,Malignant neoplasm of fundus of stomach,Condition,ICD10CM,435751,Primary malignant neoplasm of fundus of stomach
35206117,C16.2,Malignant neoplasm of body of stomach,malignancy,n/a,C1,Malignant neoplasm of body of stomach,Condition,ICD10CM,193422,Primary malignant neoplasm of body of stomach
35206118,C16.3,Malignant neoplasm of pyloric antrum,malignancy,n/a,C1,Malignant neoplasm of pyloric antrum,Condition,ICD10CM,438089,Primary malignant neoplasm of pyloric antrum
35206119,C16.4,Malignant neoplasm of pylorus,malignancy,n/a,C1,Malignant neoplasm of pylorus,Condition,ICD10CM,192255,Primary malignant neoplasm of pylorus
35206120,C16.5,"Malignant neoplasm of lesser curvature of stomach, unspecified",malignancy,n/a,C1,"Malignant neoplasm of lesser curvature of stomach, unspecified",Condition,ICD10CM,434292,Primary malignant neoplasm of lesser curvature of stomach
35206121,C16.6,"Malignant neoplasm of greater curvature of stomach, unspecified",malignancy,n/a,C1,"Malignant neoplasm of greater curvature of stomach, unspecified",Condition,ICD10CM,437224,Primary malignant neoplasm of greater curvature of stomach
35206122,C16.8,Malignant neoplasm of overlapping sites of stomach,malignancy,n/a,C1,Malignant neoplasm of overlapping sites of stomach,Condition,ICD10CM,197803,Overlapping malignant neoplasm of stomach
35206123,C16.9,"Malignant neoplasm of stomach, unspecified",malignancy,n/a,C1,"Malignant neoplasm of stomach, unspecified",Condition,ICD10CM,196044,Primary malignant neoplasm of stomach
35206124,C17.0,Malignant neoplasm of duodenum,malignancy,n/a,C1,Malignant neoplasm of duodenum,Condition,ICD10CM,435752,Primary malignant neoplasm of duodenum
35206125,C17.1,Malignant neoplasm of jejunum,malignancy,n/a,C1,Malignant neoplasm of jejunum,Condition,ICD10CM,436913,Primary malignant neoplasm of jejunum
35206126,C17.2,Malignant neoplasm of ileum,malignancy,n/a,C1,Malignant neoplasm of ileum,Condition,ICD10CM,4311480,Primary malignant neoplasm of ileum
35206127,C17.3,"Meckel's diverticulum, malignant",malignancy,n/a,C1,"Meckel's diverticulum, malignant",Condition,ICD10CM,4094863,Malignant tumor of Meckel's diverticulum
35206128,C17.8,Malignant neoplasm of overlapping sites of small intestine,malignancy,n/a,C1,Malignant neoplasm of overlapping sites of small intestine,Condition,ICD10CM,199747,Overlapping malignant neoplasm of small intestine
35206129,C17.9,"Malignant neoplasm of small intestine, unspecified",malignancy,n/a,C1,"Malignant neoplasm of small intestine, unspecified",Condition,ICD10CM,192836,Primary malignant neoplasm of small intestine
35206130,C18.0,Malignant neoplasm of cecum,malignancy,n/a,C1,Malignant neoplasm of cecum,Condition,ICD10CM,432837,Primary malignant neoplasm of cecum
35206131,C18.1,Malignant neoplasm of appendix,malignancy,n/a,C1,Malignant neoplasm of appendix,Condition,ICD10CM,433143,Primary malignant neoplasm of appendix
